Date,Open,High,Low,Close
20230907,4495.13,4495.13,4436.19,4436.19
20230908,4422.37,4430.96,4402.03,4416.74
20230911,4419.2,4472.44,4419.2,4452.49
20230912,4449.41,4462.06,4445.03,4445.43
20230913,4442.3,4446.9,4390.05,4411.32
20230914,4410.58,4417.72,4386.23,4403.42
20230915,4412.74,4417.5,4365.04,4377.13
20230918,4365.42,4411.48,4365.42,4398.78
20230919,4393.58,4393.58,4366.51,4383.56
20230920,4377.07,4377.33,4362.47,4362.47
20230921,4352.98,4363.49,4325.59,4325.59
20230922,4325.04,4406.91,4319.15,4406.91
20230925,4406.69,4406.69,4375.12,4378.57
20230926,4375.12,4385.7,4353.02,4353.02
20230927,4353.42,4390.21,4353.42,4367.35
20230928,4380.41,4380.41,4357.95,4362.85
20231009,4351.95,4359.59,4318.34,4355.8
20231010,4368.35,4368.35,4327.41,4327.52
20231011,4346.23,4360.89,4331.1,4340.32
20231012,4371.5,4378.92,4357.47,4378.92
20231013,4351.6,4351.6,4322.46,4335.21
20231016,4336.64,4336.64,4280.35,4289.1
20231017,4297.04,4303.1,4278.32,4299.81
20231018,4289.45,4289.45,4256.42,4257.6
20231019,4231.27,4231.27,4173.82,4173.82
20231020,4156.19,4174.78,4135.99,4142.97
20231023,4132.38,4132.38,4065.89,4089.34
20231024,4101.11,4113.63,4074.58,4108.2
20231025,4147.92,4161.12,4125.99,4126.73
20231026,4103.56,4139.31,4094.25,4138.42
20231027,4123.35,4218.04,4123.35,4202.45
20231030,4193.1,4247.21,4193.1,4237.01
20231031,4234.42,4234.42,4200.7,4219.44
20231101,4251.37,4251.37,4209.84,4215.81
20231102,4225.52,4239.97,4192.18,4192.18
20231103,4197.22,4245.94,4197.22,4232.31
20231106,4257.82,4295.48,4257.82,4294.11
20231107,4283.43,4293.66,4265.82,4283.8
20231108,4272.59,4295.99,4257.1,4277.98
20231109,4269.1,4293.17,4266.22,4276.23
20231110,4257.35,4257.35,4236.26,4247.06
20231113,4258.44,4258.44,4229.31,4250.08
20231114,4251.33,4269.48,4240.74,4253.3
20231115,4295.45,4295.45,4273.86,4283.7
20231116,4274.51,4276.58,4239.67,4239.67
20231117,4227.29,4242.78,4216.35,4241.08
20231120,4243.8,4263.57,4219.99,4254.29
20231121,4267.37,4290.39,4248.1,4253.42
20231122,4238.76,4238.76,4203.63,4203.63
20231123,4198.95,4229.35,4189.21,4228.8
20231124,4228.01,4228.01,4191.4,4194.91
20231127,4189.97,4189.97,4149.87,4170.41
20231128,4168.27,4182.82,4159.09,4181.67
20231129,4181.08,4181.08,4141.66,4148.03
20231130,4143.88,4159.42,4136.49,4150.27
20231201,4147.75,4151.74,4108.31,4144.43
20231204,4143.87,4150.32,4120.82,4121.32
20231205,4108.8,4108.8,4040.31,4040.31
20231206,4032.08,4067.48,4032.08,4051.59
20231207,4045.23,4053.01,4019.82,4041.1
20231208,4043.04,4064.09,4036.68,4054.91
20231211,4029.16,4088.85,4002.47,4082.77
20231212,4073.11,4090.16,4072.57,4089.46
20231213,4079.68,4079.68,4023.5,4023.5
20231214,4045.2,4056.67,4003.95,4003.95
20231215,4019.57,4039.22,3989.93,3990.26
20231218,3975.82,3992.51,3957.68,3965.11
20231219,3960.74,3986.37,3948.46,3970.67
20231220,3972.17,3972.17,3925.36,3925.36
20231221,3909.94,3972.66,3909.94,3965.9
20231222,3964.16,3997.05,3949.2,3965.49
20231225,3957.86,3979.15,3957.86,3977.71
20231226,3975.82,3975.82,3936.5,3948.56
20231227,3951.31,3962.62,3932.59,3959.05
20231228,3956.9,4058.89,3956.9,4054.18
20231229,4049.43,4079.4,4049.43,4079.4
20240102,4075.19,4075.19,4030.38,4030.38
20240103,4021.54,4031.18,4000.55,4018.73
20240104,4014.23,4014.23,3962.03,3979.08
20240105,3972.12,3994.27,3933.66,3946.39
20240108,3938.92,3938.92,3888.18,3888.8
20240109,3891.36,3910.34,3876.3,3898.32
20240110,3885.82,3921.82,3865.56,3878.46
20240111,3876.11,3923.73,3868.54,3910.39
20240112,3897.71,3926.55,3894.86,3894.86
20240115,3878.4,3910.19,3873.87,3889.0
20240116,3880.05,3904.44,3856.08,3902.64
20240117,3891.44,3891.44,3810.06,3810.06
20240118,3790.75,3858.23,3743.2,3858.23
20240119,3843.96,3869.02,3835.38,3846.48
20240122,3837.82,3837.82,3757.89,3758.49
20240123,3747.46,3801.96,3738.45,3784.04
20240124,3800.6,3831.3,3726.42,3831.15
20240125,3828.64,3916.82,3827.29,3916.82
20240126,3898.31,3916.23,3886.86,3895.91
20240129,3897.04,3898.87,3846.1,3846.1
20240130,3823.13,3832.52,3772.67,3772.67
20240131,3755.19,3779.88,3713.67,3720.82
20240201,3704.23,3764.76,3690.98,3721.23
20240202,3724.34,3736.23,3616.9,3663.77
20240205,3643.05,3718.34,3573.37,3663.41
20240206,3641.68,3826.15,3641.68,3825.41
20240207,3829.72,3902.19,3829.72,3902.19
20240208,3913.36,3960.96,3908.79,3934.25
20240219,3977.84,3977.84,3939.47,3976.73
20240220,3962.66,3982.01,3944.53,3978.07
20240221,3952.44,4077.72,3952.44,4021.93
20240222,4015.26,4056.43,4015.26,4056.43
20240223,4063.41,4067.08,4041.82,4064.84
20240226,4061.71,4065.16,4032.08,4034.64
20240227,4018.3,4094.55,4018.3,4094.55
20240228,4100.27,4130.17,4026.96,4026.96
20240229,4010.72,4118.96,4010.72,4118.96
20240301,4118.51,4150.71,4114.77,4147.92
20240304,4151.15,4158.59,4125.83,4156.22
20240305,4135.3,4173.52,4135.3,4170.82
20240306,4157.82,4181.35,4147.29,4158.08
20240307,4155.57,4175.16,4122.04,4124.08
20240308,4125.13,4155.4,4110.22,4152.9
20240311,4153.05,4212.5,4153.05,4212.5
20240312,4217.75,4233.11,4200.3,4221.12
20240313,4219.94,4224.04,4189.95,4200.65
20240314,4201.69,4225.18,4169.34,4189.25
20240315,4179.5,4209.11,4154.52,4207.05
20240318,4218.0,4250.5,4217.68,4250.22
20240319,4238.6,4254.57,4217.7,4217.7
20240320,4207.41,4231.98,4207.41,4229.9
20240321,4240.68,4242.53,4213.48,4219.38
20240322,4207.53,4207.53,4152.85,4176.06
20240325,4166.91,4197.62,4142.67,4142.67
20240326,4142.27,4159.5,4131.18,4157.11
20240327,4152.11,4152.11,4093.02,4093.02
20240328,4089.34,4156.79,4089.34,4127.86
20240329,4124.6,4154.62,4124.6,4154.54
20240401,4172.24,4231.91,4172.24,4231.91
20240402,4228.03,4228.26,4200.02,4214.18
20240403,4211.6,4211.6,4193.81,4200.94
